,q1c,q1cstd,q1high,q1low,q1range,q1middle,q1pos,q0c,q0cstd,q0high,q0low,q0spanmean,q0spanstd,q0lixt,q0lixc72,q0lixc288,q0lixd,q0lixm,q0lixtv,q0lixc72v,q0lixc288v,q0lixdv,q0lixmv,m0c,m0cstd,m0high,m0low,m0spanmean,m0spanstd,m0lixt,m0lixc72,m0lixc288,m0lixd,m0lixm,m0lixtv,m0lixc72v,m0lixc288v,m0lixdv,m0lixmv
2015-03-20,0.157455757314,-0.760873537463,-0.633107997551,0.721705846475,-0.737782299722,0.0244513637007,0.848205843758,0.178476838756,-0.732094727715,-0.756883467925,0.787461191353,-0.792505067876,-0.796198085276,0.485901719294,0.0,0.0,-0.602911960117,1.0,-0.0261876861397,0.0,0.0,-0.0320463574541,0.0,-0.0637816354291,-0.759525527629,-0.756863436814,0.769146636276,-0.770631013143,-0.84707721905,0.264938999234,0.0,0.0,-0.251691536946,1.0,-0.0842719180016,0.0,0.0,0.0482468329077,0.0
2014-12-19,0.309931798881,-0.796205521166,-0.352551873702,0.984912746166,-0.751114955339,0.315104433796,0.91699999381,-0.0229615944422,-0.727418109773,-0.709178216778,0.803434032107,-0.777457394551,-0.812799870453,0.49969484894,0.0,0.0,-0.583382675347,1.0,-0.264275297482,0.0,0.0,0.07695713903,0.0,-0.0332216779675,-0.661701480273,-0.673404777828,0.662999325145,-0.679765972069,-0.862198187148,0.218895086576,-0.463665978653,-0.102459543582,-0.188234231617,1.0,-0.0782199848289,-0.463665978653,-0.105078932904,0.0704573963105,0.0
2014-09-19,0.0930265418911,-0.905005383813,-0.80837600601,0.650728354926,-0.79995403086,-0.096805845221,0.98113840982,0.247913533954,-0.949596100609,-1.0,0.92428968064,-0.979153655812,-0.971171299268,0.638889408589,0.0,0.0,-0.684954391691,1.0,0.225004410827,0.0,0.0,-0.0797570230739,0.0,0.0704697665829,-0.933320524002,-0.966661301427,0.977842971656,-0.975714792572,-0.96900742358,0.394150377399,0.0,0.0,-0.401827564699,1.0,-0.0511999748723,0.0,0.0,0.0247471321407,0.0
2014-06-20,0.306428667422,-0.964137639793,-0.387142665155,1.0,-0.785334817093,0.306428667422,1.0,0.164130260492,-0.757844078723,-0.716730494777,0.810359367216,-0.785304508774,-0.877748226941,0.560061995715,0.0,0.0,-0.636349878113,1.0,0.487605033266,0.0,0.0,-0.0243383188997,0.0,0.0247397212831,-0.804664247599,-0.800718312013,0.876571558557,-0.839077030551,-0.911910114465,0.284720867833,0.0,0.0,-0.302491927693,1.0,-0.0817050504013,0.0,0.0,0.0384912485535,0.0
2014-03-21,0.244425163409,-0.796446533301,-0.437273686606,0.728364025775,-0.613509174531,0.12617246112,0.830774631373,0.0697050501947,-0.845437589153,-0.890255935348,0.953142818032,-0.940365373259,-0.887663233882,0.389235818862,0.0,0.0,-0.621517928451,1.0,8.02519056266e-05,0.0,0.0,0.028613247452,0.0,-0.100076015737,-0.850957402695,-0.898296086667,0.989152949134,-0.940175970392,-0.910380370243,0.33462107455,0.12485911844,0.0555569117433,-0.295463755336,1.0,-0.123092073149,0.11311163278,0.0315635662903,0.0894792638702,0.0
2013-12-20,0.190991453501,-0.88322911015,-0.618017092998,0.927944289262,-0.883406275291,0.149824682783,1.0,0.161845062182,-0.816969578833,-0.856427592527,0.868195156318,-0.881530625268,-0.949301742021,0.389207703635,0.0,0.0,-0.659283062271,1.0,0.0744145773532,0.0,0.0,-0.0425507898351,0.0,0.319684980302,-0.819375823369,-0.915469642771,0.812297090396,-0.880845679468,-0.949910296431,0.489982852522,0.0,0.0,-0.524618031611,1.0,0.0734069240025,0.0,0.0,-0.0572242595706,0.0
2013-09-20,0.0619632216289,-0.869448426987,-0.770132210364,0.636676593597,-0.764103520093,-0.0864528548011,0.671507166874,0.277920226766,-0.758857722729,-0.766893951111,0.789036652716,-0.798674803823,-0.874003590598,0.363137509761,0.0,0.0,-0.633352299529,1.0,0.180770215285,0.0,0.0,-0.155119271463,0.0,0.422576808166,-0.91164050851,-0.928805800854,0.8202290733,-0.891882569857,-0.94888952841,0.54514837192,0.0,0.0,-0.554318656314,1.0,0.486766655703,-0.380198007628,-0.0861628904709,-0.201875964898,0.0
2013-06-21,0.0369698810153,-0.738460867624,-0.369302551088,1.0,-0.773556201499,0.315348724456,-0.765530169313,0.212007755636,-0.783526762066,-0.843986420828,0.785885124322,-0.834400592355,-0.877977935766,0.299806980625,0.0,0.0,-0.538821480231,1.0,0.0858967433221,0.0,0.0,-0.119979785078,0.0,0.0661238739136,-0.782095449436,-0.862724134803,0.735864239784,-0.82024761587,-0.907917145264,0.43114160735,0.0,0.0,-0.453178713871,1.0,-0.0231045797786,0.0,0.0,0.00668959277086,0.0
2013-03-15,0.288647123724,-0.865985453676,-0.403158486031,1.0,-0.795908975801,0.298420756984,0.934497631068,0.14804153883,-0.733323091904,-0.724742443166,0.744984003167,-0.755615708752,-0.818275746463,0.255074105604,0.0,0.0,-0.440563794771,1.0,-0.0630265056223,0.0,0.495193245292,-0.0935054446231,0.0,0.310389734972,-0.787901229027,-0.946188414816,0.717146835539,-0.86100317181,-0.872942179843,0.38374314813,0.0,0.0,-0.389161194612,1.0,0.366770761487,0.0106065970257,-0.0108843205127,-0.195211248018,0.5
2012-12-21,0.074035361196,-0.762624737484,-0.716625169347,0.582918919282,-0.688221354552,-0.0901476883476,0.643911829182,0.0753100587568,-0.832794354076,-0.777323393042,0.867945538878,-0.842879399582,-0.880734992889,0.245101587025,0.0,-0.907657285949,-0.340452240868,1.0,0.0870937526965,0.0,-0.0523749387755,-0.00263339715604,0.0,-0.0719026761577,-0.855053447418,-0.767602166134,0.932001751679,-0.841327984216,-0.946724424997,0.236216062136,0.377227993055,0.167850154471,-0.182085076732,1.0,-0.216485543694,0.341736148372,0.0953607627071,0.126810871664,0.0
